Player,Team,Attacking Impact,Defensive Impact,Misc Impact,Total Impact
Jannik Vestergaard,Leicester City,0.42,-1.36,1.34,0.4
Carlos Soler,West Ham,2.3,-1.87,-0.04,0.39
Leon Bailey,Aston Villa,3.1,-2.12,-0.63,0.35
Sam Morsy,Ipswich Town,1.74,-1.8,0.34,0.28
Nathan Broadhead,Ipswich Town,3.06,-2.68,-0.16,0.22
Jack Harrison,Everton,1.78,-1.24,-0.33,0.21
Alejandro Garnacho,Manchester Utd,2.47,-2.28,0.01,0.2
Crysencio Summerville,West Ham,3.6,-3.48,0.06,0.18
Bilal El Khannouss,Leicester City,3.41,-3.0,-0.26,0.15
Ben Johnson,Ipswich Town,2.44,-1.18,-1.22,0.04
Joe Aribo,Southampton,1.75,-2.48,0.76,0.03
Georginio Rutter,Brighton,3.32,-2.59,-0.71,0.02
Luke Woolfenden,Ipswich Town,0.22,-1.39,1.15,-0.02
James Bree,Southampton,1.71,-2.77,0.98,-0.08
Jorginho,Arsenal,1.54,-1.97,0.34,-0.09
Mohammed Kudus,West Ham,2.76,-2.54,-0.32,-0.1
Richarlison,Tottenham,3.7,-3.42,-0.42,-0.14
Kyle Walker-Peters,Southampton,1.98,-3.12,0.98,-0.16
Boubakary Soumaré,Leicester City,1.35,-2.0,0.39,-0.26
Ederson,Manchester City,1.45,-3.33,1.61,-0.27
Jens Cajuste,Ipswich Town,1.66,-2.24,0.26,-0.32
Craig Dawson,Wolves,0.46,-2.59,1.62,-0.51
Alisson,Liverpool,0.63,-2.59,1.41,-0.55
Conor Coady,Leicester City,0.67,-2.93,1.56,-0.7
Jack Taylor,Ipswich Town,1.07,-1.63,-0.23,-0.79
Jordan Pickford,Everton,0.66,-3.2,1.69,-0.85
Lesley Ugochukwu,Southampton,1.56,-2.29,-0.18,-0.91
Martin Dúbravka,Newcastle Utd,0.41,-2.75,1.4,-0.94
Flynn Downes,Southampton,1.28,-2.28,0.04,-0.96
Kalvin Phillips,Ipswich Town,0.7,-1.5,-0.2,-1.0
Beto,Everton,1.67,-0.77,-1.94,-1.04
Mark Flekken,Brentford,0.86,-4.04,2.13,-1.05
Nathan Wood-Gordon,Southampton,0.21,-2.46,1.18,-1.07
Niclas Füllkrug,West Ham,3.78,-3.22,-1.63,-1.07
Eddie Nketiah,Crystal Palace,1.64,-1.39,-1.33,-1.08
Jordan Ayew,Leicester City,2.23,-3.0,-0.36,-1.13
David Raya,Arsenal,0.47,-3.1,1.39,-1.24
Mason Mount,Manchester Utd,1.14,-1.29,-1.14,-1.29
Yukinari Sugawara,Southampton,2.26,-3.95,0.37,-1.32
Bobby De Cordova-Reid,Leicester City,3.17,-4.01,-0.59,-1.43
Gonçalo Guedes,Wolves,4.09,-4.88,-0.66,-1.45
Emiliano Martínez,Aston Villa,0.45,-3.58,1.63,-1.5
George Hirst,Ipswich Town,3.14,-2.9,-1.75,-1.51
Jørgen Strand Larsen,Wolves,3.48,-3.46,-1.58,-1.56
Joshua Zirkzee,Manchester Utd,2.04,-2.71,-0.9,-1.57
Archie Gray,Tottenham,0.57,-3.55,1.38,-1.6
Caoimhín Kelleher,Liverpool,0.7,-3.74,1.44,-1.6
Bernd Leno,Fulham,0.56,-3.8,1.53,-1.71
Dominic Solanke,Tottenham,2.42,-3.11,-1.04,-1.73
Tyler Dibling,Southampton,2.3,-3.74,-0.34,-1.78
Dominic Calvert-Lewin,Everton,0.1,-0.25,-1.73,-1.88
Kepa Arrizabalaga,Bournemouth,0.38,-3.68,1.42,-1.88
Matz Sels,Nott'ham Forest,0.41,-3.22,0.91,-1.9
Hwang Hee-chan,Wolves,2.49,-4.23,-0.17,-1.91
André Onana,Manchester Utd,0.32,-3.72,1.47,-1.93
Sammie Szmodics,Ipswich Town,1.47,-2.72,-0.74,-1.99
Dean Henderson,Crystal Palace,0.34,-3.33,0.97,-2.02
Omari Hutchinson,Ipswich Town,2.45,-4.16,-0.4,-2.11
Mathys Tel,Tottenham,2.74,-4.3,-0.65,-2.21
Robert Sánchez,Chelsea,0.53,-4.02,1.28,-2.21
Wes Burns,Ipswich Town,1.74,-3.93,-0.17,-2.36
Nick Pope,Newcastle Utd,0.46,-3.93,1.09,-2.38
Conor Chaplin,Ipswich Town,1.79,-3.9,-0.28,-2.39
Jamie Vardy,Leicester City,2.24,-4.26,-0.42,-2.44
Bart Verbruggen,Brighton,0.59,-4.45,1.33,-2.53
Jakub Stolarczyk,Leicester City,0.19,-3.96,1.11,-2.66
Stefan Ortega,Manchester City,0.34,-4.56,1.5,-2.72
Kamaldeen Sulemana,Southampton,1.18,-2.7,-1.23,-2.75
Alphonse Areola,West Ham,0.3,-4.55,1.49,-2.76
Guglielmo Vicario,Tottenham,0.44,-4.64,1.43,-2.77
José Sá,Wolves,0.44,-4.44,1.08,-2.92
Antonín Kinský,Tottenham,0.32,-4.83,1.52,-2.99
Oliver Skipp,Leicester City,0.97,-3.62,-0.41,-3.06
Wilson Odobert,Tottenham,1.53,-4.18,-0.46,-3.11
William Smallbone,Southampton,2.02,-4.88,-0.28,-3.14
Liam Delap,Ipswich Town,3.04,-4.13,-2.09,-3.18
Patson Daka,Leicester City,0.15,-3.13,-0.5,-3.48
Michail Antonio,West Ham,1.84,-3.86,-1.5,-3.52
Rasmus Højlund,Manchester Utd,1.23,-3.96,-0.8,-3.53
Łukasz Fabiański,West Ham,0.43,-5.36,1.33,-3.6
Sam Johnstone,Wolves,0.45,-5.71,1.64,-3.62
Paul Onuachu,Southampton,0.74,-2.1,-2.57,-3.93
Alex Palmer,Ipswich Town,0.35,-5.52,1.23,-3.94
Arijanet Muric,Ipswich Town,0.22,-5.73,1.31,-4.2
Mads Hermansen,Leicester City,0.25,-6.22,1.33,-4.64
Aaron Ramsdale,Southampton,0.22,-6.28,1.36,-4.7
Filip Jørgensen,Chelsea,0.5,-6.58,1.0,-5.08
Christian Walton,Ipswich Town,0.38,-7.2,1.38,-5.44
Cameron Archer,Southampton,-0.0,-4.83,-0.85,-5.68
Adam Armstrong,Southampton,1.16,-6.49,-0.67,-6.0
Fraser Forster,Tottenham,0.37,-7.58,1.0,-6.21
