Player,Team,Minutes,Goals,Assists,Goals + Assists,Non Pen Goals,Pens Scored,Pens Attempted,Prog Carries,Prog Passes,Prog Passes Received,Yellows,Reds,xG,Non Pen xG,xAG,Non Pen xG + xA,Shots,Shots on Target,Non Pen xG per Shot,Goals minus xG,Non Pen Goals minus Non Pen xG,Short Pass,Short Pass Attempted,Medium Pass,Medium Pass Attempted,Long Pass,Long Pass Attempted,xA,Assists minus xAG,Key Passes,Pass into final third,Pass into Pen Area,Cross into Pen Area,Shot Creation Actions,Goal Creation Actions,Tackles,Tackles in Def 3rd,Tackles Won,Dribblers Tackled,Dribbles Challenged,Blocked Shots,Blocked Passes,Interceptions,Clearances,Errors,Touches in Attacking Third,Touches in Pen Area,Take Ons Attempted,Take Ons Won,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Points Per Match,Goals whilst on Pitch,Goals Conceded whilst on Pitch,xG whilst on Pitch,xG Conceded whilst on Pitch,Net Goals On or Off Pitch per 90,Net xG On or Off Pitch per 90,Fouls Comitted,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Recoveries,Aerial Duels Won,Aerial Duels Lost,year
Lucas Paquetá,West Ham,2380.0,4.0,0.0,4.0,2.0,2.0,2.0,26.0,155.0,85.0,10.0,0.0,5.3,3.7,3.1,6.8,39.0,3.0,0.1,-1.3,-1.7,590.0,700.0,389.0,494.0,119.0,184.0,3.3,-3.1,36.0,132.0,44.0,4.0,82.0,6.0,66.0,25.0,37.0,27.0,55.0,4.0,25.0,18.0,37.0,6.0,454.0,59.0,47.0,21.0,921.0,34.0,2.0,54.0,51.0,0.94,34.0,50.0,28.7,42.9,-0.61,-0.67,53.0,62.0,6.0,0.0,1.0,0.0,149.0,48.0,57.0,2024-2025
Luis Díaz,Liverpool,2399.0,13.0,5.0,18.0,13.0,0.0,0.0,108.0,110.0,293.0,2.0,0.0,12.0,12.0,5.0,17.1,71.0,30.0,0.17,1.0,1.0,394.0,445.0,254.0,295.0,60.0,74.0,4.5,0.0,56.0,48.0,46.0,6.0,117.0,16.0,39.0,13.0,26.0,15.0,39.0,0.0,19.0,7.0,7.0,1.0,706.0,167.0,116.0,53.0,780.0,55.0,56.0,55.0,49.0,2.25,67.0,21.0,61.2,24.9,1.81,0.71,48.0,31.0,10.0,2.0,0.0,0.0,105.0,13.0,38.0,2024-2025
Luis Guilherme,West Ham,150.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,16.0,0.0,0.0,0.4,0.4,0.1,0.5,4.0,1.0,0.1,-0.4,-0.4,37.0,38.0,16.0,18.0,5.0,8.0,0.1,-0.1,3.0,5.0,3.0,2.0,10.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,7.0,3.0,2.0,0.0,41.0,5.0,13.0,7.0,51.0,3.0,1.0,4.0,3.0,0.5,2.0,5.0,2.4,2.6,-1.44,0.26,0.0,4.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,2024-2025
Luis Sinisterra,Bournemouth,236.0,1.0,1.0,2.0,1.0,0.0,0.0,19.0,6.0,38.0,0.0,0.0,1.2,1.2,1.4,2.6,13.0,6.0,0.09,-0.2,-0.2,44.0,48.0,22.0,32.0,5.0,5.0,1.3,-0.4,9.0,6.0,2.0,2.0,14.0,1.0,7.0,3.0,2.0,0.0,4.0,0.0,3.0,1.0,8.0,0.0,96.0,23.0,20.0,8.0,95.0,6.0,10.0,6.0,3.0,1.25,5.0,4.0,6.5,3.9,0.07,0.62,4.0,2.0,1.0,0.0,0.0,0.0,17.0,3.0,7.0,2024-2025
Luke Shaw,Manchester Utd,349.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,24.0,7.0,1.0,0.0,0.0,0.0,0.7,0.7,1.0,0.0,0.03,0.0,0.0,118.0,127.0,108.0,119.0,20.0,33.0,0.8,-0.7,5.0,20.0,3.0,1.0,10.0,0.0,4.0,2.0,3.0,2.0,2.0,1.0,5.0,2.0,7.0,0.0,42.0,4.0,1.0,0.0,226.0,8.0,0.0,2.0,0.0,0.71,3.0,5.0,4.4,3.9,-0.28,0.2,3.0,1.0,0.0,0.0,0.0,1.0,9.0,3.0,2.0,2024-2025
Luke Thomas,Leicester City,1110.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,37.0,16.0,3.0,0.0,0.4,0.4,0.5,0.9,5.0,0.0,0.07,-0.4,-0.4,245.0,267.0,205.0,251.0,35.0,82.0,0.5,-0.5,9.0,32.0,5.0,2.0,16.0,1.0,31.0,23.0,25.0,21.0,41.0,6.0,9.0,21.0,49.0,1.0,120.0,8.0,6.0,3.0,371.0,8.0,2.0,12.0,4.0,0.57,8.0,23.0,8.2,24.5,0.03,-0.42,16.0,10.0,0.0,0.0,1.0,0.0,42.0,13.0,11.0,2024-2025
Luke Woolfenden,Ipswich Town,1187.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.03,0.0,0.0,178.0,184.0,274.0,292.0,39.0,74.0,0.0,0.0,0.0,31.0,0.0,0.0,2.0,0.0,9.0,5.0,6.0,2.0,5.0,14.0,7.0,19.0,76.0,0.0,9.0,3.0,0.0,0.0,368.0,3.0,0.0,4.0,0.0,0.47,12.0,28.0,9.2,25.7,0.0,-0.37,5.0,2.0,1.0,0.0,0.0,0.0,38.0,15.0,15.0,2024-2025
Mads Hermansen,Leicester City,2385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,151.0,155.0,312.0,329.0,191.0,584.0,0.0,0.0,0.0,20.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,13.0,4.0,0.0,0.0,1.0,1.0,734.0,0.0,0.0,1.0,0.0,0.56,23.0,58.0,22.4,54.1,-0.28,-0.54,0.0,3.0,0.0,0.0,0.0,0.0,17.0,4.0,1.0,2024-2025
Mads Roerslev,Brentford,1101.0,0.0,2.0,2.0,0.0,0.0,0.0,17.0,51.0,54.0,2.0,0.0,0.2,0.2,3.0,3.2,5.0,2.0,0.04,-0.2,-0.2,205.0,233.0,179.0,224.0,27.0,49.0,2.1,-1.0,14.0,37.0,11.0,4.0,21.0,2.0,18.0,14.0,8.0,11.0,28.0,5.0,7.0,4.0,35.0,0.0,146.0,20.0,19.0,7.0,352.0,13.0,0.0,9.0,6.0,1.21,19.0,20.0,20.1,21.1,-0.47,-0.26,6.0,10.0,0.0,0.0,0.0,0.0,39.0,10.0,14.0,2024-2025
Malo Gusto,Chelsea,1862.0,0.0,1.0,1.0,0.0,0.0,0.0,50.0,119.0,85.0,4.0,0.0,1.7,1.7,1.4,3.1,22.0,4.0,0.08,-1.7,-1.7,585.0,628.0,517.0,585.0,68.0,112.0,1.9,-0.4,22.0,111.0,19.0,7.0,58.0,4.0,45.0,27.0,29.0,25.0,48.0,8.0,21.0,24.0,49.0,5.0,451.0,43.0,16.0,4.0,882.0,36.0,8.0,18.0,17.0,1.66,40.0,26.0,40.5,27.2,0.27,0.24,20.0,20.0,2.0,0.0,0.0,0.0,119.0,9.0,15.0,2024-2025
