Player,Team,Attacking Impact ML,Defensive Impact ML,Misc Impact,Total Impact (ML)
Mathias Jensen,Brentford,3.97,-2.49,0.54,2.02
Nicolás Domínguez,Nott'ham Forest,2.64,-0.6,-0.02,2.02
Kenny Tete,Fulham,2.62,-0.7,0.1,2.02
Tyrick Mitchell,Crystal Palace,2.95,-1.06,0.11,2.0
Oliver Scarles,West Ham,2.37,-0.53,0.15,1.99
Robert Sánchez,Chelsea,3.31,-2.25,0.91,1.97
Mark Flekken,Brentford,3.4,-2.89,1.43,1.94
Patrick Dorgu,Manchester Utd,2.69,-1.23,0.48,1.94
Toti Gomes,Wolves,2.69,-1.5,0.74,1.93
André,Wolves,2.51,-1.14,0.55,1.92
Pedro Neto,Chelsea,3.54,-1.75,0.13,1.92
Lewis Dunk,Brighton,2.83,-2.88,1.94,1.89
Yves Bissouma,Tottenham,3.32,-1.56,0.13,1.89
Mateus Fernandes,Southampton,2.92,-1.26,0.22,1.88
Kyle Walker-Peters,Southampton,2.98,-1.81,0.71,1.88
Timothy Castagne,Fulham,2.51,-1.05,0.42,1.88
Brennan Johnson,Tottenham,3.59,-1.56,-0.16,1.87
Jarrad Branthwaite,Everton,2.37,-1.38,0.87,1.86
Lewis Cook,Bournemouth,3.2,-1.37,0.03,1.86
Jean-Clair Todibo,West Ham,2.78,-1.69,0.76,1.85
Noussair Mazraoui,Manchester Utd,1.99,-0.64,0.5,1.85
Ashley Young,Everton,2.22,-0.72,0.34,1.84
Daichi Kamada,Crystal Palace,3.01,-1.25,0.07,1.83
Manuel Ugarte,Manchester Utd,2.41,-0.64,0.06,1.83
Yehor Yarmoliuk,Brentford,3.08,-1.43,0.18,1.83
Kepa Arrizabalaga,Bournemouth,3.34,-2.49,0.98,1.83
Brajan Gruda,Brighton,4.08,-2.08,-0.18,1.82
Richarlison,Tottenham,4.36,-2.38,-0.16,1.82
Rodrigo Muniz,Fulham,4.74,-2.55,-0.38,1.81
Pape Matar Sarr,Tottenham,3.3,-1.83,0.33,1.8
Matthijs de Ligt,Manchester Utd,2.77,-2.16,1.19,1.8
Milos Kerkez,Bournemouth,3.18,-1.81,0.42,1.79
Kaoru Mitoma,Brighton,3.84,-1.73,-0.33,1.78
Pau Torres,Aston Villa,2.71,-2.11,1.18,1.78
Lucas Digne,Aston Villa,2.71,-1.24,0.3,1.77
Nathan Collins,Brentford,3.1,-2.36,1.03,1.77
Cameron Burgess,Ipswich Town,2.89,-1.9,0.78,1.77
Bryan Mbeumo,Brentford,4.0,-2.05,-0.2,1.75
Bernd Leno,Fulham,3.61,-2.92,1.06,1.75
Emiliano Martínez,Aston Villa,3.09,-2.47,1.13,1.75
João Pedro,Brighton,3.94,-1.88,-0.32,1.74
Son Heung-min,Tottenham,4.1,-2.75,0.38,1.73
Diego Carlos,Aston Villa,3.01,-2.57,1.28,1.72
Nicolas Jackson,Chelsea,4.06,-1.57,-0.77,1.72
Callum Hudson-Odoi,Nott'ham Forest,3.02,-1.48,0.17,1.71
Adam Smith,Bournemouth,3.08,-1.43,0.06,1.71
Iliman Ndiaye,Everton,2.56,-0.95,0.09,1.7
Jesper Lindstrøm,Everton,2.42,-0.17,-0.55,1.7
James Tarkowski,Everton,2.2,-1.17,0.67,1.7
Marcus Tavernier,Bournemouth,3.39,-1.41,-0.29,1.69
Taylor Harwood-Bellis,Southampton,3.49,-2.96,1.14,1.67
Saša Lukić,Fulham,2.75,-1.18,0.09,1.66
Aaron Cresswell,West Ham,2.31,-1.65,1.0,1.66
Morato,Nott'ham Forest,3.21,-1.39,-0.17,1.65
Rodrigo Bentancur,Tottenham,3.18,-1.67,0.14,1.65
Sander Berge,Fulham,2.55,-1.43,0.53,1.65
Anthony Elanga,Nott'ham Forest,3.68,-1.98,-0.05,1.65
Lucas Bergvall,Tottenham,3.21,-1.98,0.41,1.64
Justin Devenny,Crystal Palace,3.26,-0.91,-0.73,1.62
Igor,Brighton,2.99,-2.76,1.39,1.62
Guido Rodríguez,West Ham,2.93,-1.62,0.31,1.62
Nikola Milenković,Nott'ham Forest,2.93,-1.72,0.41,1.62
Sepp van den Berg,Brentford,3.53,-2.4,0.48,1.61
Caoimhín Kelleher,Liverpool,2.97,-2.32,0.96,1.61
Alexander Isak,Newcastle Utd,4.77,-2.64,-0.56,1.57
Evanilson,Bournemouth,3.46,-1.78,-0.11,1.57
Christian Eriksen,Manchester Utd,3.25,-2.14,0.45,1.56
Alphonse Areola,West Ham,3.1,-2.54,0.99,1.55
Murillo,Nott'ham Forest,2.63,-1.53,0.43,1.53
Victor Lindelöf,Manchester Utd,2.76,-1.98,0.74,1.52
Jean-Ricner Bellegarde,Wolves,3.26,-1.8,0.06,1.52
Djed Spence,Tottenham,3.23,-2.02,0.3,1.51
Will Hughes,Crystal Palace,3.07,-1.1,-0.46,1.51
Christopher Nkunku,Chelsea,4.13,-2.31,-0.32,1.5
Guglielmo Vicario,Tottenham,3.39,-2.87,0.97,1.49
Mohammed Kudus,West Ham,3.44,-1.76,-0.19,1.49
Gabriel Jesus,Arsenal,4.18,-1.94,-0.76,1.48
Keane Lewis-Potter,Brentford,3.35,-2.1,0.23,1.48
Carlos Baleba,Brighton,2.46,-1.44,0.43,1.45
John McGinn,Aston Villa,2.83,-1.81,0.42,1.44
Nick Pope,Newcastle Utd,3.16,-2.49,0.75,1.42
Justin Kluivert,Bournemouth,3.81,-1.94,-0.45,1.42
Stefan Ortega,Manchester City,3.42,-3.04,1.03,1.41
Morgan Gibbs-White,Nott'ham Forest,3.26,-1.68,-0.17,1.41
Jota Silva,Nott'ham Forest,3.67,-1.54,-0.72,1.41
Sean Longstaff,Newcastle Utd,2.02,-0.74,0.13,1.41
Nico O’Reilly,Manchester City,3.39,-1.76,-0.24,1.39
Marc Cucurella,Chelsea,3.05,-2.38,0.72,1.39
Adama Traoré,Fulham,3.5,-2.01,-0.1,1.39
Mads Roerslev,Brentford,2.71,-1.81,0.48,1.38
Joe Willock,Newcastle Utd,3.3,-1.14,-0.79,1.37
João Gomes,Wolves,2.59,-1.1,-0.14,1.35
Yoane Wissa,Brentford,3.99,-2.4,-0.25,1.34
Harry Maguire,Manchester Utd,2.42,-1.98,0.9,1.34
Jefferson Lerma,Crystal Palace,2.99,-2.03,0.37,1.33
Ismaila Sarr,Crystal Palace,3.55,-2.22,-0.02,1.31
Antoine Semenyo,Bournemouth,3.56,-1.4,-0.85,1.31
Matt O'Riley,Brighton,3.67,-2.42,0.06,1.31
Valentino Livramento,Newcastle Utd,2.32,-1.71,0.67,1.28
Wesley Fofana,Chelsea,2.65,-2.0,0.63,1.28
Roméo Lavia,Chelsea,2.76,-1.8,0.32,1.28
Jáder Durán,Aston Villa,3.98,-2.08,-0.65,1.25
Rayan Aït-Nouri,Wolves,2.77,-1.8,0.27,1.24
Alex Iwobi,Fulham,2.85,-1.74,0.13,1.24
Ben Davies,Tottenham,2.76,-2.74,1.21,1.23
Leandro Trossard,Arsenal,3.67,-2.38,-0.09,1.2
Danny Welbeck,Brighton,3.82,-2.44,-0.22,1.16
Matt Doherty,Wolves,2.47,-2.13,0.8,1.14
Aaron Wan-Bissaka,West Ham,2.66,-1.89,0.34,1.11
